przejscie_dla_pieszych_lz,ustap_pierwszenstwa_lz,masz_pierszenstwo_lz,nakaz_jazdy_po_prawej_stronie_znaku_lz,tramwaje_lz,inne_znaki_lz,koniec_drogi_z_pierwszenstwem_lz,zakaz_wjazdu_lz,stop_lz,zakaz_skretu/zawracania_lz,rondo_lz,odległosc_od_centrum [km],sciezka_rowerowa,tramwaj,ograniczenie_predkosci,Y_kategoria,sygnalizacja_obecna,sygnalizacja_awaria,pogoda_dobre_warunki,pogoda_opady,pogoda_zla_widocznosc,oswietlenie_dzien,oswietlenie_noc_jasno,oswietlenie_noc_ciemno_zmrok,nawierzchnia_sucha,nawierzchnia_trudna
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,0,1,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,0,1,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,0,0,1,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,1,0,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,0,0,1,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,0,0,1,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,0,1,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,1,0,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,0,1,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,1,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,1,0,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,0,1,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Wymuszenie_pojazdy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Dynamika_i_odleglosc,1,0,0,0,1,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,1,0,0,1,0,0,1
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Wymuszenie_pojazdy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,0,0,1,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,1,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,0,1,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Manewry_i_przepisy,1,0,1,0,0,1,0,0,1,0
14,11,4,0,0,39,4,8,0,6,0,2.15,1,0,50,Wymuszenie_pojazdy,1,0,1,0,0,0,1,0,1,0
